animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
23325,Shirogane no Ishi: Argevollen,Summer 2014,"['Action', 'Mecha']",TV,24,"['Warner Bros.', 'KlockWorx', 'Bushiroad', 'Showgate']",['Sentai Filmworks'],['Xebec'],Original,6.53,13139,35340
23327,Space☆Dandy 2nd Season,Summer 2014,"['Space', 'Comedy', 'Sci-Fi']",TV,13,"['Bandai Visual', 'flying DOG', 'Bandai Namco Entertainment']",['Funimation'],['Bones'],Original,8.28,43912,84793
23333,DRAMAtical Murder,Summer 2014,"['Action', 'Sci-Fi', 'Super Power', 'Psychological']",TV,12,"['Avex Entertainment', 'Nitroplus', 'DIVE II Entertainment']",['Sentai Filmworks'],['NAZ'],Visual novel,6.28,40193,101074
23341,Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka!,None,"['Magic', 'Comedy']",ONA,6,"['Madhouse', 'Aniplex']",[],[],Unknown,6.38,7412,17122
23343,Futari no Oujisama,None,"['Fantasy', 'Slice of Life']",Movie,1,['Shinano Kikaku'],[],['Toei Animation'],Unknown,5,20,130
23345,Yukiguni no Oujisama,None,['Slice of Life'],Movie,1,['Shinano Kikaku'],[],['Toei Animation'],Unknown,6.36,14,113
23347,Gan to Gon,Spring 1974,"['Comedy', 'Kids']",TV,260,[],[],[],Unknown,5.81,16,150
23349,Kirin Monoshiri Yakata,Winter 1975,['Kids'],TV,1565,['Mainichi Broadcasting System'],[],[],Unknown,5.99,65,198
23351,Youkaiden Nekome Kozou,Spring 1976,"['Adventure', 'Horror', 'Psychological', 'Seinen', 'Supernatural']",TV,25,['Wako Productions'],[],[],Manga,7.42,19,296
23353,Itsuka no Main: Kaminari Shounen - Tenta Sanjou!,None,"['Action', 'Drama', 'Seinen']",OVA,1,['Toei Video'],[],['J.C.Staff'],Manga,6.41,17,142
23359,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,None,"['Action', 'Comedy', 'Military']",Special,1,[],[],['Sunrise'],Unknown,7.41,3187,10467
23363,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,None,"['Comedy', 'Romance']",Special,1,['Aniplex'],[],[],Unknown,6.73,1547,5150
23365,By Your Side,None,['Music'],Music,1,['dwarf'],[],[],Unknown,6.14,492,819
23367,Kitakubu Katsudou Kiroku: Miniature Theater,None,"['Comedy', 'School']",Special,6,[],[],['Nomad'],Manga,6.31,584,1481
23369,Bakuman. 2nd Season Special,None,['Comedy'],Special,1,[],[],['J.C.Staff'],Unknown,6.88,3744,9400
23375,Minarai Diva,Summer 2014,['Music'],TV,10,"['NOTTV', 'Bouncy']",[],['Yaoyorozu'],Original,5.54,118,1162
23385,Kyoukai no Kanata: Shinonome,None,"['Fantasy', 'Slice of Life', 'Supernatural']",Special,1,[],['Sentai Filmworks'],['Kyoto Animation'],Light novel,7.76,32164,60358
23393,Shin Don Chuck Monogatari,Spring 1976,"['Adventure', 'Kids', 'Slice of Life']",TV,73,['Knack Productions'],[],[],Unknown,6.35,51,186
23401,Tobacco wa Dasai,None,"['School', 'Slice of Life']",ONA,1,[],[],[],Unknown,4.71,102,329
23405,Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,None,"['Shounen', 'Supernatural']",ONA,3,"['Geneon Universal Entertainment', 'Tokyo MX']",['Funimation'],[],Unknown,6.89,2089,8033
23421,Re:␣Hamatora,Summer 2014,"['Mystery', 'Comedy', 'Super Power', 'Drama']",TV,12,"['TV Tokyo', 'Sotsu', 'AT-X', 'DAX Production', 'NAZ', 'DIVE II Entertainment', 'Avex Pictures', 'Q-Tec', 'Shueisha', 'Toy&#039;s Factory']",['Sentai Filmworks'],['Lerche'],Original,7.48,46714,100244
23423,Mujaki no Rakuen,None,"['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']",OVA,3,['Hakusensha'],[],[],Manga,6.06,6534,16773
23427,Oneechan ga Kita Special,None,"['Comedy', 'Slice of Life']",Special,1,"['Takeshobo', 'C2C']",[],[],4-koma manga,6.56,9200,14985
23441,Love Stage!!: Chotto Janakutte,None,"['Comedy', 'Romance', 'Shounen Ai']",OVA,1,['Kadokawa Shoten'],['Sentai Filmworks'],['J.C.Staff'],Manga,7.69,18198,33411
23447,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",None,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Slice of Life']",Special,1,['Geneon Universal Entertainment'],['Sentai Filmworks'],['J.C.Staff'],Original,7.28,14707,26764
23459,Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,None,"['Action', 'Comedy', 'Fantasy']",Special,1,"['Aniplex', 'flying DOG']",['Aniplex of America'],['A-1 Pictures'],Original,6.79,6159,13509
23475,Saimin Jutsu Zero Special,None,['Hentai'],Special,1,['Milky Animation Label'],[],[],Visual novel,5.97,348,1127
23477,Kakushi Dere Special,None,['Hentai'],Special,1,['Pashmina'],[],[],Manga,6.44,519,1463
23487,Witch Craft Works Specials,None,"['Magic', 'Comedy']",Special,6,['Lantis'],[],['J.C.Staff'],Unknown,6.82,1518,6093
23515,Otsuki-sama to Oujo,None,['Fantasy'],OVA,1,['Shinano Kikaku'],[],['Shin-Ei Animation'],Unknown,4.97,34,125
